AREA,AREA NAME,Crm Cd,Crm Cd Desc,DATE OCC,Part 1-2,DR_NO
14,Pacific,651,DOCUMENT WORTHLESS ($200.01 & OVER),2022,2,2
12,77th Street,902,VIOLATION OF TEMPORARY RESTRAINING ORDER,2022,2,5
21,Topanga,351,PURSE SNATCHING,2021,1,1
01,Central,433,DRIVING WITHOUT OWNER CONSENT (DWOC),2020,1,3
10,West Valley,760,LEWD/LASCIVIOUS ACTS WITH CHILD,2022,2,6
16,Foothill,815,SEXUAL PENETRATION W/FOREIGN OBJECT,2021,1,12
11,Northeast,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,2021,1,3
08,West LA,901,VIOLATION OF RESTRAINING ORDER,2022,2,94
19,Mission,441,THEFT PLAIN - ATTEMPT,2021,1,2
21,Topanga,850,INDECENT EXPOSURE,2021,2,10
13,Newton,352,PICKPOCKET,2020,1,3
17,Devonshire,901,VIOLATION OF RESTRAINING ORDER,2021,2,105
21,Topanga,624,BATTERY - SIMPLE ASSAULT,2020,2,624
21,Topanga,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2020,1,98
16,Foothill,354,THEFT OF IDENTITY,2021,2,430
20,Olympic,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,2021,1,6
17,Devonshire,520,VEHICLE - ATTEMPT STOLEN,2022,1,19
02,Rampart,624,BATTERY - SIMPLE ASSAULT,2020,2,903
11,Northeast,210,ROBBERY,2022,1,280
06,Hollywood,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),2020,1,241
11,Northeast,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2020,1,87
17,Devonshire,320,"BURGLARY, ATTEMPTED",2021,1,45
04,Hollenbeck,760,LEWD/LASCIVIOUS ACTS WITH CHILD,2022,2,1
07,Wilshire,480,BIKE - STOLEN,2021,1,93
15,N Hollywood,906,FIREARMS RESTRAINING ORDER (FIREARMS RO),2021,2,1
21,Topanga,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),2020,1,78
02,Rampart,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2022,1,736
05,Harbor,121,"RAPE, FORCIBLE",2020,1,30
14,Pacific,433,DRIVING WITHOUT OWNER CONSENT (DWOC),2021,1,11
21,Topanga,860,BATTERY WITH SEXUAL CONTACT,2020,2,43
15,N Hollywood,760,LEWD/LASCIVIOUS ACTS WITH CHILD,2020,2,2
10,West Valley,438,RECKLESS DRIVING,2022,2,8
06,Hollywood,820,ORAL COPULATION,2020,1,12
17,Devonshire,354,THEFT OF IDENTITY,2021,2,651
14,Pacific,626,INTIMATE PARTNER - SIMPLE ASSAULT,2020,2,369
17,Devonshire,888,TRESPASSING,2021,2,123
16,Foothill,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),2022,1,389
20,Olympic,753,DISCHARGE FIREARMS/SHOTS FIRED,2020,2,14
02,Rampart,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),2020,1,87
04,Hollenbeck,932,PEEPING TOM,2021,2,4
20,Olympic,649,DOCUMENT FORGERY / STOLEN FELONY,2022,2,53
16,Foothill,830,INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES),2022,2,1
17,Devonshire,664,"BUNCO, PETTY THEFT",2020,2,24
09,Van Nuys,949,ILLEGAL DUMPING,2021,2,2
12,77th Street,522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",2021,1,1
12,77th Street,649,DOCUMENT FORGERY / STOLEN FELONY,2020,2,24
03,Southwest,921,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,2021,2,1
21,Topanga,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",2022,2,39
10,West Valley,661,UNAUTHORIZED COMPUTER ACCESS,2020,2,10
05,Harbor,350,"THEFT, PERSON",2021,1,24
05,Harbor,626,INTIMATE PARTNER - SIMPLE ASSAULT,2021,2,557
11,Northeast,235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,2021,1,3
06,Hollywood,350,"THEFT, PERSON",2022,1,61
18,Southeast,664,"BUNCO, PETTY THEFT",2021,2,26
17,Devonshire,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),2020,1,208
03,Southwest,653,"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",2020,2,1
14,Pacific,902,VIOLATION OF TEMPORARY RESTRAINING ORDER,2020,2,5
20,Olympic,440,THEFT PLAIN - PETTY ($950 & UNDER),2022,1,679
02,Rampart,122,"RAPE, ATTEMPTED",2022,1,6
14,Pacific,820,ORAL COPULATION,2020,1,8
08,West LA,755,BOMB SCARE,2021,2,11
12,77th Street,922,CHILD STEALING,2020,2,27
16,Foothill,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2022,1,78
09,Van Nuys,510,VEHICLE - STOLEN,2020,1,896
09,Van Nuys,806,PANDERING,2021,2,24
10,West Valley,649,DOCUMENT FORGERY / STOLEN FELONY,2020,2,45
09,Van Nuys,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,2022,1,3
18,Southeast,666,"BUNCO, ATTEMPT",2022,2,1
03,Southwest,933,PROWLER,2021,2,3
20,Olympic,434,FALSE IMPRISONMENT,2021,2,4
11,Northeast,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),2020,2,20
21,Topanga,352,PICKPOCKET,2021,1,4
01,Central,450,THEFT FROM PERSON - ATTEMPT,2021,1,10
02,Rampart,755,BOMB SCARE,2022,2,7
16,Foothill,950,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01",2021,2,1
14,Pacific,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2021,1,624
08,West LA,813,CHILD ANNOYING (17YRS & UNDER),2022,2,7
12,77th Street,433,DRIVING WITHOUT OWNER CONSENT (DWOC),2020,1,2
01,Central,626,INTIMATE PARTNER - SIMPLE ASSAULT,2022,2,555
15,N Hollywood,850,INDECENT EXPOSURE,2020,2,10
08,West LA,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2022,2,672
21,Topanga,946,OTHER MISCELLANEOUS CRIME,2022,2,55
20,Olympic,437,RESISTING ARREST,2022,2,4
17,Devonshire,946,OTHER MISCELLANEOUS CRIME,2022,2,65
02,Rampart,433,DRIVING WITHOUT OWNER CONSENT (DWOC),2020,1,1
01,Central,421,THEFT FROM MOTOR VEHICLE - ATTEMPT,2021,1,3
03,Southwest,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,2022,2,15
03,Southwest,662,"BUNCO, GRAND THEFT",2020,2,75
12,77th Street,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,2021,2,8
09,Van Nuys,860,BATTERY WITH SEXUAL CONTACT,2021,2,44
13,Newton,437,RESISTING ARREST,2020,2,5
10,West Valley,820,ORAL COPULATION,2021,1,1
08,West LA,890,FAILURE TO YIELD,2021,2,2
16,Foothill,626,INTIMATE PARTNER - SIMPLE ASSAULT,2020,2,443
03,Southwest,220,ATTEMPTED ROBBERY,2022,1,63
02,Rampart,310,BURGLARY,2022,1,478
10,West Valley,886,DISTURBING THE PEACE,2020,2,14
06,Hollywood,900,VIOLATION OF COURT ORDER,2022,2,53
16,Foothill,762,LEWD CONDUCT,2021,2,2
19,Mission,649,DOCUMENT FORGERY / STOLEN FELONY,2020,2,42
10,West Valley,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2022,1,344
09,Van Nuys,623,BATTERY POLICE (SIMPLE),2020,2,21
06,Hollywood,437,RESISTING ARREST,2021,2,25
03,Southwest,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2020,2,709
04,Hollenbeck,660,COUNTERFEIT,2021,2,1
04,Hollenbeck,946,OTHER MISCELLANEOUS CRIME,2021,2,45
14,Pacific,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",2021,2,118
10,West Valley,250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",2022,1,3
03,Southwest,654,"CREDIT CARDS, FRAUD USE ($950 & UNDER",2022,2,1
20,Olympic,410,"BURGLARY FROM VEHICLE, ATTEMPTED",2022,1,7
05,Harbor,920,KIDNAPPING - GRAND ATTEMPT,2020,2,1
19,Mission,354,THEFT OF IDENTITY,2022,2,969
16,Foothill,753,DISCHARGE FIREARMS/SHOTS FIRED,2020,2,32
21,Topanga,330,BURGLARY FROM VEHICLE,2020,1,542
16,Foothill,438,RECKLESS DRIVING,2021,2,3
17,Devonshire,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2020,1,72
15,N Hollywood,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,2022,2,5
01,Central,763,STALKING,2022,2,3
03,Southwest,943,CRUELTY TO ANIMALS,2020,2,1
21,Topanga,940,EXTORTION,2020,2,18
18,Southeast,753,DISCHARGE FIREARMS/SHOTS FIRED,2020,2,53
06,Hollywood,820,ORAL COPULATION,2022,1,15
08,West LA,820,ORAL COPULATION,2022,1,11
06,Hollywood,622,BATTERY ON A FIREFIGHTER,2020,2,4
07,Wilshire,648,ARSON,2022,1,20
02,Rampart,623,BATTERY POLICE (SIMPLE),2022,2,32
04,Hollenbeck,661,UNAUTHORIZED COMPUTER ACCESS,2022,2,1
11,Northeast,624,BATTERY - SIMPLE ASSAULT,2020,2,549
19,Mission,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2022,1,443
09,Van Nuys,250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",2020,1,1
10,West Valley,762,LEWD CONDUCT,2021,2,6
08,West LA,520,VEHICLE - ATTEMPT STOLEN,2022,1,8
17,Devonshire,664,"BUNCO, PETTY THEFT",2021,2,19
18,Southeast,622,BATTERY ON A FIREFIGHTER,2021,2,2
05,Harbor,434,FALSE IMPRISONMENT,2020,2,2
13,Newton,122,"RAPE, ATTEMPTED",2022,1,1
06,Hollywood,410,"BURGLARY FROM VEHICLE, ATTEMPTED",2022,1,6
14,Pacific,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",2021,2,249
04,Hollenbeck,122,"RAPE, ATTEMPTED",2020,1,2
06,Hollywood,815,SEXUAL PENETRATION W/FOREIGN OBJECT,2022,1,33
17,Devonshire,649,DOCUMENT FORGERY / STOLEN FELONY,2021,2,44
09,Van Nuys,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),2020,1,523
21,Topanga,625,OTHER ASSAULT,2020,2,26
17,Devonshire,753,DISCHARGE FIREARMS/SHOTS FIRED,2021,2,21
17,Devonshire,487,BOAT - STOLEN,2020,1,3
18,Southeast,755,BOMB SCARE,2022,2,4
16,Foothill,410,"BURGLARY FROM VEHICLE, ATTEMPTED",2020,1,6
05,Harbor,421,THEFT FROM MOTOR VEHICLE - ATTEMPT,2021,1,13
05,Harbor,920,KIDNAPPING - GRAND ATTEMPT,2022,2,2
17,Devonshire,647,THROWING OBJECT AT MOVING VEHICLE,2020,2,7
12,77th Street,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,2022,1,4
02,Rampart,850,INDECENT EXPOSURE,2022,2,19
09,Van Nuys,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2020,1,91
18,Southeast,870,CHILD ABANDONMENT,2022,2,1
13,Newton,440,THEFT PLAIN - PETTY ($950 & UNDER),2020,1,401
10,West Valley,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),2020,1,147
18,Southeast,622,BATTERY ON A FIREFIGHTER,2022,2,6
13,Newton,480,BIKE - STOLEN,2021,1,17
20,Olympic,763,STALKING,2022,2,6
09,Van Nuys,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,2022,2,19
06,Hollywood,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,2020,2,12
04,Hollenbeck,624,BATTERY - SIMPLE ASSAULT,2020,2,732
04,Hollenbeck,439,FALSE POLICE REPORT,2020,2,2
12,77th Street,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,2020,1,15
11,Northeast,330,BURGLARY FROM VEHICLE,2020,1,656
19,Mission,439,FALSE POLICE REPORT,2020,2,2
07,Wilshire,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,2021,2,227
19,Mission,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",2021,2,77
02,Rampart,900,VIOLATION OF COURT ORDER,2021,2,68
01,Central,438,RECKLESS DRIVING,2022,2,7
11,Northeast,251,SHOTS FIRED AT INHABITED DWELLING,2021,1,11
07,Wilshire,251,SHOTS FIRED AT INHABITED DWELLING,2022,1,5
09,Van Nuys,649,DOCUMENT FORGERY / STOLEN FELONY,2022,2,38
17,Devonshire,753,DISCHARGE FIREARMS/SHOTS FIRED,2020,2,9
18,Southeast,654,"CREDIT CARDS, FRAUD USE ($950 & UNDER",2022,2,1
14,Pacific,813,CHILD ANNOYING (17YRS & UNDER),2020,2,10
12,77th Street,820,ORAL COPULATION,2021,1,16
21,Topanga,251,SHOTS FIRED AT INHABITED DWELLING,2020,1,4
15,N Hollywood,813,CHILD ANNOYING (17YRS & UNDER),2020,2,13
14,Pacific,946,OTHER MISCELLANEOUS CRIME,2021,2,118
02,Rampart,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,2021,1,12
03,Southwest,900,VIOLATION OF COURT ORDER,2020,2,102
01,Central,950,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01",2022,2,2
21,Topanga,440,THEFT PLAIN - PETTY ($950 & UNDER),2020,1,464
01,Central,434,FALSE IMPRISONMENT,2020,2,3
16,Foothill,437,RESISTING ARREST,2021,2,9
19,Mission,820,ORAL COPULATION,2021,1,9
15,N Hollywood,251,SHOTS FIRED AT INHABITED DWELLING,2020,1,8
09,Van Nuys,660,COUNTERFEIT,2020,2,5
18,Southeast,888,TRESPASSING,2021,2,55
12,77th Street,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),2020,1,8
19,Mission,653,"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",2021,2,1
14,Pacific,353,DRUNK ROLL,2020,1,4
11,Northeast,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),2022,1,179
14,Pacific,850,INDECENT EXPOSURE,2022,2,6
07,Wilshire,354,THEFT OF IDENTITY,2021,2,514
21,Topanga,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),2020,1,400
14,Pacific,475,"THEFT, COIN MACHINE - ATTEMPT",2020,1,1
12,77th Street,850,INDECENT EXPOSURE,2022,2,18
03,Southwest,932,PEEPING TOM,2021,2,7
01,Central,670,"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",2021,2,2
18,Southeast,886,DISTURBING THE PEACE,2020,2,3
19,Mission,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),2020,1,135
03,Southwest,480,BIKE - STOLEN,2021,1,185
04,Hollenbeck,250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",2022,1,4
10,West Valley,753,DISCHARGE FIREARMS/SHOTS FIRED,2020,2,16
13,Newton,320,"BURGLARY, ATTEMPTED",2021,1,30
01,Central,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",2022,2,42
01,Central,345,DISHONEST EMPLOYEE - GRAND THEFT,2022,1,1
20,Olympic,661,UNAUTHORIZED COMPUTER ACCESS,2020,2,7
06,Hollywood,943,CRUELTY TO ANIMALS,2022,2,7
14,Pacific,310,BURGLARY,2020,1,953
05,Harbor,480,BIKE - STOLEN,2022,1,17
03,Southwest,820,ORAL COPULATION,2022,1,5
14,Pacific,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),2022,1,878
12,77th Street,753,DISCHARGE FIREARMS/SHOTS FIRED,2021,2,87
01,Central,753,DISCHARGE FIREARMS/SHOTS FIRED,2021,2,19
19,Mission,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,2020,1,5
12,77th Street,946,OTHER MISCELLANEOUS CRIME,2020,2,124
15,N Hollywood,805,PIMPING,2021,2,1
16,Foothill,122,"RAPE, ATTEMPTED",2020,1,2
16,Foothill,806,PANDERING,2021,2,1
17,Devonshire,954,CONTRIBUTING,2022,2,1
19,Mission,440,THEFT PLAIN - PETTY ($950 & UNDER),2020,1,363
12,77th Street,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",2022,2,71
13,Newton,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2020,1,828
06,Hollywood,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",2022,2,123
08,West LA,438,RECKLESS DRIVING,2020,2,2
11,Northeast,649,DOCUMENT FORGERY / STOLEN FELONY,2021,2,24
05,Harbor,920,KIDNAPPING - GRAND ATTEMPT,2021,2,4
02,Rampart,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2020,1,648
01,Central,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",2022,2,1
12,77th Street,670,"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",2020,2,2
12,77th Street,434,FALSE IMPRISONMENT,2021,2,2
18,Southeast,437,RESISTING ARREST,2020,2,14
18,Southeast,450,THEFT FROM PERSON - ATTEMPT,2022,1,1
13,Newton,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",2022,2,47
13,Newton,943,CRUELTY TO ANIMALS,2020,2,1
18,Southeast,921,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,2022,2,5
05,Harbor,443,SHOPLIFTING - ATTEMPT,2021,1,4
12,77th Street,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),2022,2,316
05,Harbor,922,CHILD STEALING,2020,2,8
17,Devonshire,410,"BURGLARY FROM VEHICLE, ATTEMPTED",2020,1,5
18,Southeast,351,PURSE SNATCHING,2021,1,1
10,West Valley,850,INDECENT EXPOSURE,2020,2,4
21,Topanga,888,TRESPASSING,2022,2,125
06,Hollywood,434,FALSE IMPRISONMENT,2020,2,6
13,Newton,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",2020,2,18
11,Northeast,931,"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)",2022,2,1
13,Newton,250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",2021,1,3
03,Southwest,660,COUNTERFEIT,2022,2,1
02,Rampart,888,TRESPASSING,2021,2,88
15,N Hollywood,664,"BUNCO, PETTY THEFT",2022,2,27
15,N Hollywood,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2020,2,638
03,Southwest,235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,2020,1,6
13,Newton,475,"THEFT, COIN MACHINE - ATTEMPT",2020,1,2
05,Harbor,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",2022,2,13
20,Olympic,814,CHILD PORNOGRAPHY,2022,2,2
20,Olympic,510,VEHICLE - STOLEN,2021,1,"1,301"
15,N Hollywood,820,ORAL COPULATION,2020,1,11
19,Mission,210,ROBBERY,2020,1,251
14,Pacific,910,KIDNAPPING,2020,2,3
17,Devonshire,250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",2022,1,4
02,Rampart,440,THEFT PLAIN - PETTY ($950 & UNDER),2022,1,466
20,Olympic,626,INTIMATE PARTNER - SIMPLE ASSAULT,2020,2,645
01,Central,625,OTHER ASSAULT,2022,2,144
21,Topanga,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),2022,1,538
04,Hollenbeck,651,DOCUMENT WORTHLESS ($200.01 & OVER),2022,2,1
13,Newton,235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,2020,1,9
15,N Hollywood,122,"RAPE, ATTEMPTED",2022,1,1
01,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),2020,2,396
16,Foothill,910,KIDNAPPING,2021,2,8
05,Harbor,626,INTIMATE PARTNER - SIMPLE ASSAULT,2022,2,586
09,Van Nuys,813,CHILD ANNOYING (17YRS & UNDER),2022,2,15
11,Northeast,903,CONTEMPT OF COURT,2022,2,1
20,Olympic,480,BIKE - STOLEN,2022,1,77
10,West Valley,122,"RAPE, ATTEMPTED",2021,1,8
03,Southwest,350,"THEFT, PERSON",2021,1,85
08,West LA,210,ROBBERY,2022,1,162
05,Harbor,623,BATTERY POLICE (SIMPLE),2020,2,17
19,Mission,903,CONTEMPT OF COURT,2020,2,7
09,Van Nuys,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,2020,2,152
13,Newton,352,PICKPOCKET,2021,1,6
13,Newton,662,"BUNCO, GRAND THEFT",2022,2,44
07,Wilshire,648,ARSON,2021,1,26
12,77th Street,480,BIKE - STOLEN,2021,1,6
12,77th Street,441,THEFT PLAIN - ATTEMPT,2021,1,5
16,Foothill,410,"BURGLARY FROM VEHICLE, ATTEMPTED",2021,1,1
01,Central,928,THREATENING PHONE CALLS/LETTERS,2022,2,1
12,77th Street,805,PIMPING,2022,2,9
14,Pacific,661,UNAUTHORIZED COMPUTER ACCESS,2021,2,8
13,Newton,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,2022,2,14
06,Hollywood,121,"RAPE, FORCIBLE",2022,1,49
01,Central,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,2020,2,11
09,Van Nuys,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,2020,2,38
15,N Hollywood,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,2022,1,2
06,Hollywood,250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",2021,1,1
20,Olympic,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,2020,2,25
13,Newton,510,VEHICLE - STOLEN,2021,1,"1,602"
17,Devonshire,949,ILLEGAL DUMPING,2022,2,2
04,Hollenbeck,815,SEXUAL PENETRATION W/FOREIGN OBJECT,2022,1,18
14,Pacific,661,UNAUTHORIZED COMPUTER ACCESS,2020,2,2
15,N Hollywood,922,CHILD STEALING,2021,2,4
10,West Valley,822,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,2022,2,1
19,Mission,330,BURGLARY FROM VEHICLE,2020,1,450
16,Foothill,763,STALKING,2021,2,8
07,Wilshire,933,PROWLER,2021,2,1
13,Newton,901,VIOLATION OF RESTRAINING ORDER,2020,2,178
13,Newton,944,CONSPIRACY,2022,2,1
10,West Valley,421,THEFT FROM MOTOR VEHICLE - ATTEMPT,2020,1,10
19,Mission,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2020,1,162
01,Central,920,KIDNAPPING - GRAND ATTEMPT,2021,2,4
13,Newton,110,CRIMINAL HOMICIDE,2020,1,35
20,Olympic,648,ARSON,2021,1,37
08,West LA,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,2021,1,1
02,Rampart,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),2022,1,351
19,Mission,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,2021,1,5
09,Van Nuys,940,EXTORTION,2022,2,21
04,Hollenbeck,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2022,1,625
20,Olympic,434,FALSE IMPRISONMENT,2022,2,4
13,Newton,439,FALSE POLICE REPORT,2022,2,1
16,Foothill,651,DOCUMENT WORTHLESS ($200.01 & OVER),2020,2,1
20,Olympic,813,CHILD ANNOYING (17YRS & UNDER),2020,2,8
15,N Hollywood,756,WEAPONS POSSESSION/BOMBING,2022,2,1
04,Hollenbeck,904,FIREARMS EMERGENCY PROTECTIVE ORDER (FIREARMS EPO),2021,2,1
20,Olympic,949,ILLEGAL DUMPING,2020,2,3
10,West Valley,943,CRUELTY TO ANIMALS,2020,2,1
09,Van Nuys,648,ARSON,2020,1,27
15,N Hollywood,623,BATTERY POLICE (SIMPLE),2020,2,23
03,Southwest,438,RECKLESS DRIVING,2021,2,3
20,Olympic,440,THEFT PLAIN - PETTY ($950 & UNDER),2021,1,633
14,Pacific,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2022,1,456
06,Hollywood,664,"BUNCO, PETTY THEFT",2021,2,42
06,Hollywood,624,BATTERY - SIMPLE ASSAULT,2020,2,878
08,West LA,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,2022,1,2
04,Hollenbeck,815,SEXUAL PENETRATION W/FOREIGN OBJECT,2021,1,11
16,Foothill,122,"RAPE, ATTEMPTED",2022,1,5
20,Olympic,910,KIDNAPPING,2020,2,12
08,West LA,850,INDECENT EXPOSURE,2020,2,16
19,Mission,250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",2021,1,3
15,N Hollywood,626,INTIMATE PARTNER - SIMPLE ASSAULT,2021,2,537
15,N Hollywood,237,CHILD NEGLECT (SEE 300 W.I.C.),2021,2,6
02,Rampart,660,COUNTERFEIT,2022,2,1
18,Southeast,410,"BURGLARY FROM VEHICLE, ATTEMPTED",2020,1,15
18,Southeast,943,CRUELTY TO ANIMALS,2021,2,9
16,Foothill,890,FAILURE TO YIELD,2021,2,17
06,Hollywood,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),2020,1,423
